id,type,number,title,date,timing_quality,duration_minutes,block_count,word_count,players_present,attendance_source,nat20_mentions,nat1_mentions,top_npc,top_location,words_Topher,words_Silas,words_Bru,words_Elspeth,words_Leliana,words_Olivia,words_Ohma,words_Helisanna,words_Red,words_Jasper
session-1,session,1,1: Dinner and Nightcap,2024-08-05,none,,,,Helisanna; Silas; Bru; Red; Olivia; Elspeth,recap,0,0,,,,,,,,,,,,
session-2,session,2,2: A Rock Show And A Briefcase,2024-08-09,none,,,,,none,0,0,,,,,,,,,,,,
session-3,session,3,3: Unraveling Twilight,2024-08-16,none,,,,,none,0,0,,,,,,,,,,,,
session-4,session,4,4: Love and Betrayal,2024-08-25,none,,,,Silas; Red; Helisanna; Bru; Olivia,recap,0,0,,,,,,,,,,,,
session-5,session,5,5: A Pretty Good Concert,2024-09-01,none,,,,,none,0,0,,,,,,,,,,,,
session-6,session,6,6: Highforge Sprint,2024-09-07,none,,,,,none,0,0,,,,,,,,,,,,
session-7,session,7,7: Escape Highforge,2024-09-14,none,,,,,none,0,0,,,,,,,,,,,,
session-8,session,8,8: Caravan Nights,2024-10-03,none,,,,,none,0,0,,,,,,,,,,,,
session-9,session,9,9: A Stranger at the Crossroads,2024-10-05,none,,,,Helisanna; Elspeth; Bru; Olivia; Red; Silas,recap,0,0,,,,,,,,,,,,
session-10,session,10,10: The Red Scare,2024-10-12,none,,,,,none,0,0,,,,,,,,,,,,
session-11,session,11,11: You Only Live Once,2024-10-19,none,,,,,none,0,0,,,,,,,,,,,,
session-12,session,12,"12: Out of the frying pan, into the Fire",2024-10-26,none,,,,,none,0,0,,,,,,,,,,,,
session-13,session,13,13: Burning down the house,2024-11-11,none,,,,,none,0,0,,,,,,,,,,,,
session-14,session,14,14: Ascending Grimvar's Spine,2024-11-17,none,,,,,none,0,0,,,,,,,,,,,,
session-15,session,15,15: On George's Heels,2024-11-23,none,,,,,none,0,0,,,,,,,,,,,,
session-16,session,16,16: Olivia's Decision,2024-12-12,none,,,,,none,0,0,,,,,,,,,,,,
session-17,session,17,17: The Skyhammers,2024-12-14,none,,,,,none,0,0,,,,,,,,,,,,
session-18,session,18,Winter Solstice Special,2024-12-21,none,,,,,none,0,0,,,,,,,,,,,,
session-20,session,20,20: Trials of the W****M Hole,2025-01-11,none,,,,,none,0,0,,,,,,,,,,,,
session-21,session,21,21: Trapped In Tree Land,2025-01-28,none,,,,,none,0,0,,,,,,,,,,,,
interlude-1,interlude,1,Interlude I: The Convent of Bloody Orchids,2025-02-28,none,,,,,none,0,0,,,,,,,,,,,,
interlude-2,interlude,2,Interlude II: Murder at the Manor,2025-03-07,none,,,,,none,0,0,,,,,,,,,,,,
interlude-3,interlude,3,Interlude III: The Corrupted Sanctuary,2025-03-14,none,,,,,none,0,0,,,,,,,,,,,,
interlude-4,interlude,4,Interlude IV: Into the Hollow,2025-03-28,none,,,,,none,0,0,,,,,,,,,,,,
interlude-5,interlude,5,Interlude V: The Wichita Sisters' Guardian,2025-04-04,none,,,,,none,0,0,,,,,,,,,,,,
interlude-6,interlude,6,Interlude VI: The Final Ritual,2025-04-18,none,,,,,none,0,0,,,,,,,,,,,,
interlude-7,interlude,7,Interlude VII: The Lotus Hotel Hangover,2025-04-25,none,,,,,none,0,0,,,,,,,,,,,,
interlude-8,interlude,8,Interlude VIII: Cooking Combat Chaos,2025-05-02,none,,,,,none,0,0,,,,,,,,,,,,
interlude-9,interlude,9,Interlude IX: Recipe for Disaster,2025-05-09,none,,,,,none,0,0,,,,,,,,,,,,
interlude-10,interlude,10,Interlude X: The Chaos God's Gift,2025-05-16,none,,,,,none,0,0,,,,,,,,,,,,
interlude-11,interlude,11,Interlude XI: The Wrecked World of the Quizzites,2025-05-30,none,,,,,none,0,0,,,,,,,,,,,,
session-22,session,22,22: Red's Last Flight,2025-06-06,none,,,,,none,0,0,,,,,,,,,,,,
session-23,session,23,23: Purple-Eyed Ravers and Racing Contracts,2025-06-13,none,,,,,none,0,0,,,,,,,,,,,,
session-24,session,24,24: Voices from High Forge,2025-06-20,none,,,,,none,0,0,,,,,,,,,,,,
session-25,session,25,25: Wanted Dead or Alive,2025-06-27,none,,,,,none,0,0,,,,,,,,,,,,
session-26,session,26,26: Underground Connections,2025-07-11,none,,,,,none,0,0,,,,,,,,,,,,
session-27,session,27,27: Bombing for the Resistance,2025-07-18,none,,,,,none,0,0,,,,,,,,,,,,
session-28,session,28,28: The Third Explosion and the Royal Vault Heist,2025-08-01,none,,,,,none,0,0,,,,,,,,,,,,
session-29,session,29,29: Truckgust F-150th,2025-08-15,none,,,,,none,0,0,,,,,,,,,,,,
session-30,session,30,30: The Vault Heist Conclusion,2025-08-22,none,,,,,none,0,0,,,,,,,,,,,,
session-31,session,31,31: Into the Blackstone Manor,2025-08-29,none,,,,,none,0,0,,,,,,,,,,,,
session-32,session,32,32: Dragon's Bargain and Raver Recruitment,2025-09-05,none,,,,,none,0,0,,,,,,,,,,,,
